conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,class_year,position,mp_total,pts_total,reb_total,ast_total,stl_total,blk_total,tov_total,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,R Greggerson,R,Greggerson,22,3.6,1.1,0.9,0.0,0.1,0.3,0.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,D Allen,D,Allen,18,12.7,1.1,1.7,0.6,0.6,0.1,0.9,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,D Ramos,D,Ramos,18,4.8,0.9,1.3,0.2,0.4,0.2,0.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,N Starks,N,Starks,16,2.9,0.6,0.2,0.1,0.1,0.0,0.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Pierre-Paul,J,Pierre-Paul,18,3.9,0.6,0.7,0.2,0.1,0.0,0.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,T Mangan,T,Mangan,20,6.8,0.6,0.4,1.1,0.5,0.1,0.6,,,,,,,,,,,,,,,,,,
arc,American Rivers Conference (ARC),2025-26,Loras,"Loew,Emmett",Emmett,Loew,12,19.416666666666668,7.0,0.83,1.58,1.17,0.08,1.0833333333333333,0.0,G,233.0,84.0,10.0,19.0,14.0,1.0,13.0,30.0,75.0,0.4,15.0,48.0,0.31,9.0,10.0,0.9
arc,American Rivers Conference (ARC),2025-26,Loras,"Jackson,Damyen",Damyen,Jackson,26,20.384615384615383,7.15,2.69,1.69,0.96,0.23,1.5769230769230769,0.0,G,530.0,186.0,70.0,44.0,25.0,6.0,41.0,65.0,148.0,0.44,22.0,56.0,0.39,34.0,44.0,0.77
arc,American Rivers Conference (ARC),2025-26,Loras,"Balling,Lukas",Lukas,Balling,11,8.363636363636363,2.45,1.45,0.27,0.09,0.0,0.3636363636363636,0.0,F,92.0,27.0,16.0,3.0,1.0,0.0,4.0,7.0,22.0,0.32,1.0,2.0,0.5,12.0,12.0,1.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Meyer,Ethan",Ethan,Meyer,7,2.142857142857143,0.86,0.43,0.0,0.14,0.0,0.0,0.0,F,15.0,6.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Sarvis,Gavin",Gavin,Sarvis,24,26.375,13.08,3.83,3.04,1.21,0.54,2.2083333333333335,0.0,G,633.0,314.0,92.0,73.0,29.0,13.0,53.0,108.0,240.0,0.45,23.0,75.0,0.31,75.0,101.0,0.74
arc,American Rivers Conference (ARC),2025-26,Loras,"Berendes,Nolan",Nolan,Berendes,27,30.85185185185185,12.89,7.07,1.26,1.26,0.63,1.2962962962962965,0.0,F,833.0,348.0,191.0,34.0,34.0,17.0,35.0,115.0,260.0,0.44,57.0,155.0,0.37,61.0,72.0,0.85
arc,American Rivers Conference (ARC),2025-26,Loras,"Massey,Brock",Brock,Massey,22,14.863636363636363,4.18,2.64,1.73,0.82,0.09,0.5,0.0,F,327.0,92.0,58.0,38.0,18.0,2.0,11.0,31.0,74.0,0.42,6.0,28.0,0.21,24.0,29.0,0.83
arc,American Rivers Conference (ARC),2025-26,Loras,"Mosele,Connor",Connor,Mosele,10,10.4,1.2,0.8,1.1,0.3,0.0,0.4,0.0,G,104.0,12.0,8.0,11.0,3.0,0.0,4.0,3.0,17.0,0.18,3.0,12.0,0.25,3.0,4.0,0.75
arc,American Rivers Conference (ARC),2025-26,Loras,"Navarrete,Jim",Jim,Navarrete,7,2.0,1.14,0.43,0.0,0.14,0.29,0.0,0.0,G,14.0,8.0,3.0,0.0,1.0,2.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Quarnstrom,Patrick",Patrick,Quarnstrom,16,5.9375,1.44,1.38,0.44,0.06,0.06,0.4375,0.0,G,95.0,23.0,22.0,7.0,1.0,1.0,7.0,8.0,20.0,0.4,1.0,7.0,0.14,6.0,10.0,0.6
arc,American Rivers Conference (ARC),2025-26,Loras,"Haynes,Jack",Jack,Haynes,23,29.043478260869566,16.91,9.22,0.91,1.13,0.57,1.0869565217391304,0.0,F,668.0,389.0,212.0,21.0,26.0,13.0,25.0,152.0,267.0,0.57,13.0,38.0,0.34,72.0,101.0,0.71
arc,American Rivers Conference (ARC),2025-26,Loras,"Kober,Kyle",Kyle,Kober,27,21.51851851851852,8.59,2.7,1.22,1.04,0.04,0.8148148148148148,0.0,G,581.0,232.0,73.0,33.0,28.0,1.0,22.0,78.0,190.0,0.41,24.0,77.0,0.31,52.0,74.0,0.7
arc,American Rivers Conference (ARC),2025-26,Loras,"Grams,Cooper",Cooper,Grams,6,2.6666666666666665,0.33,0.0,0.0,0.0,0.0,0.0,0.0,G,16.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Coen,Patrick",Patrick,Coen,16,6.0,1.63,1.38,0.13,0.25,0.06,0.3125,0.0,C,96.0,26.0,22.0,2.0,4.0,1.0,5.0,10.0,20.0,0.5,3.0,10.0,0.3,3.0,4.0,0.75
arc,American Rivers Conference (ARC),2025-26,Loras,"Crawford,Juvon",Juvon,Crawford,6,2.3333333333333335,1.17,0.17,0.0,0.17,0.0,0.0,0.0,G,14.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5
arc,American Rivers Conference (ARC),2025-26,Loras,"Semany,Johnny",Johnny,Semany,25,19.64,6.08,2.6,1.92,0.92,0.12,1.2,0.0,G,491.0,152.0,65.0,48.0,23.0,3.0,30.0,51.0,116.0,0.44,17.0,48.0,0.35,33.0,49.0,0.67
arc,American Rivers Conference (ARC),2025-26,Loras,"Kurt,Dylan",Dylan,Kurt,20,17.15,7.7,2.5,1.8,0.85,0.2,1.25,0.0,G,343.0,154.0,50.0,36.0,17.0,4.0,25.0,45.0,115.0,0.39,18.0,59.0,0.31,46.0,56.0,0.82
arc,American Rivers Conference (ARC),2025-26,Loras,"Makeer,Deng",Deng,Makeer,25,11.56,4.8,1.48,0.36,0.44,0.6,0.48,0.0,G,289.0,120.0,37.0,9.0,11.0,15.0,12.0,42.0,108.0,0.39,29.0,80.0,0.36,7.0,13.0,0.54
arc,American Rivers Conference (ARC),2025-26,Loras,"Berchos,Athan",Athan,Berchos,8,3.25,0.75,0.13,0.38,0.13,0.0,0.25,0.0,G,26.0,6.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,0.25,1.0,4.0,0.25,3.0,3.0,1.0
arc,American Rivers Conference (ARC),2025-26,Loras,"Hirsch,Samuel",Samuel,Hirsch,0,,0.0,0.0,0.0,0.0,0.0,,0.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arc,American Rivers Conference (ARC),2025-26,Wartburg,"Olsen,Lyle",Lyle,Olsen,25,9.64,2.72,0.76,0.6,0.24,0.04,0.52,0.0,,241.0,68.0,19.0,15.0,6.0,1.0,13.0,19.0,48.0,0.4,16.0,43.0,0.37,14.0,18.0,0.78
arc,American Rivers Conference (ARC),2025-26,Wartburg,"Matson,Mason",Mason,Matson,25,11.2,4.16,0.88,0.76,0.24,0.04,0.84,0.0,,280.0,104.0,22.0,19.0,6.0,1.0,21.0,36.0,97.0,0.37,22.0,68.0,0.32,10.0,10.0,1.0
arc,American Rivers Conference (ARC),2025-26,Wartburg,"Bauer,Brody",Brody,Bauer,13,8.23076923076923,2.62,0.92,0.54,0.31,0.0,0.2307692307692307,0.0,G,107.0,34.0,12.0,7.0,4.0,0.0,3.0,11.0,37.0,0.3,9.0,31.0,0.29,3.0,4.0,0.75
